"product_id","product_variant_id"
"10856","712"
"10857","713"
"10858","714"
"10859","715"
"10860","716"
"10861","717"
"10862","718"
"10863","719"
"10864","720"
"10865","721"
"10866","722"
"10867","723"
"10868","724"
"10869","725"
"10870","726"
"10871","727"
"10872","728"
"10873","729"
"10874","730"
"10875","731"
"10876","732"
"10877","733"
"10878","734"
"10879","735"
"10880","736"
"10881","737"
"10882","738"
"10883","739"
"10884","740"
"10885","741"
"10886","742"
"10887","743"
"10888","744"
"10889","745"
"10890","746"
"10891","747"
"10892","748"
"10893","749"
"10894","750"
"10895","751"
"10896","752"
"10897","753"
"10898","754"
"10899","755"
"10900","756"
"10901","757"
"10902","758"
"10903","759"
"10904","760"
"10905","761"
"10906","762"
"10907","763"
"10908","764"
"10909","765"
"10910","766"
"10911","767"
"10912","768"
"10913","769"
"10914","770"
"10915","771"
"10916","772"
"10917","773"
"10918","774"
"10919","775"
"10920","776"
"10921","777"
"10922","778"
"10923","779"
"10924","780"
"10925","781"
"10926","782"
"10927","783"
"10928","784"
"10929","785"
"10930","786"
"10931","787"
"10932","788"
"10933","789"
"10934","790"
"10935","791"
"10936","792"
"10937","793"
"10938","794"
"10939","795"
"10940","796"
"10941","797"
"10942","798"
"10943","799"
"10944","800"
"10945","801"
"10946","802"
"10947","803"
"10948","804"
"10949","805"
"10950","806"
"10951","807"
"10952","808"
"10953","809"
"10954","810"
"10955","811"
"10956","812"
"10957","813"
"10958","814"
"10959","815"
"10960","816"
"10961","817"
"10962","818"
"10963","819"
"10964","820"
"10965","821"
"10966","822"
"10967","823"
"10968","824"
"10969","825"
"10970","826"
"10971","827"
"10972","828"
"10973","829"
"10974","830"
"10975","831"
"10976","832"
"10977","833"
"10978","834"
"10979","835"
"10980","836"
"10981","837"
"10982","838"
"10983","839"
"10984","840"
"10985","841"
"10986","842"
"10987","843"
"10988","844"
"10989","845"
"10990","846"
"10991","847"
"10992","848"
"10993","849"
"10994","850"
"10995","851"
"10996","852"
"10997","853"
"10998","854"
"10999","855"
"11000","856"
"11001","857"
"11002","858"
"11003","859"
"11004","860"
"11005","861"
"11006","862"
"11007","863"
"11008","864"
"11009","865"
"11010","866"
"11011","867"
"11012","868"
"11013","869"
"11014","870"
"11015","871"
"11016","872"
"11017","873"
"11018","874"
"11019","875"
"11020","876"
"11021","877"
"11022","878"
"11023","879"
"11024","880"
"11025","881"
"11026","882"
"11027","883"
"11028","884"
"11029","885"
"11030","886"
"11031","887"
"11032","888"
"11033","889"
"11034","890"
"11035","891"
"11036","892"
"11037","893"
"11038","894"
"11039","895"
"11040","896"
"11041","897"
"11042","898"
"11043","899"
"11044","900"
"11045","901"
"11046","902"
"11047","903"
"11048","904"
"11049","905"
"11050","906"
"11051","907"
"11052","908"
"11053","909"
"11054","910"
"11055","911"
"11056","912"
"11057","913"
"11058","914"
"11059","915"
"11060","916"
"11061","917"
"11062","918"
"11063","919"
"11064","920"
"11065","921"
"11364","1217"
"11066","922"
"11067","923"
"11068","924"
"11069","925"
"11070","926"
"11071","927"
"11072","928"
"11073","929"
"11074","930"
"11075","931"
"11076","932"
"11077","933"
"11078","934"
"11079","935"
"11080","936"
"11081","937"
"11082","938"
"11083","939"
"11084","940"
"11085","941"
"11086","942"
"11087","943"
"11088","944"
"11089","945"
"11090","946"
"11091","947"
"11092","948"
"11093","949"
"11094","950"
"11095","951"
"11096","952"
"11097","953"
"11098","954"
"11099","955"
"11100","956"
"11101","957"
"11102","958"
"11103","959"
"11104","960"
"11105","961"
"11106","962"
"11107","963"
"11108","964"
"11109","965"
"11110","966"
"11111","967"
"11112","968"
"11113","969"
"11114","970"
"11115","971"
"11116","972"
"11117","973"
"11118","974"
"11119","975"
"11120","976"
"11121","977"
"11122","978"
"11123","979"
"11124","980"
"11125","981"
"11126","982"
"11127","983"
"11128","984"
"11129","985"
"11130","986"
"11131","987"
"11132","988"
"11133","989"
"11134","990"
"11135","991"
"11136","992"
